,ip,s_down_length,f_down_length,down_increment
100,10.49.223.90,113336904.0,0.0,113336904.0
101,10.49.223.91,89021.0,0.0,89021.0
102,10.49.231.206,122800087.0,0.0,122800087.0
103,10.49.231.21,44850910.0,0.0,44850910.0
104,10.49.253.15,28834572.0,0.0,28834572.0
105,10.49.253.159,187286129.0,0.0,187286129.0
106,10.49.253.162,472458697.0,0.0,472458697.0
107,10.49.253.219,319835228.0,0.0,319835228.0
108,10.49.253.233,247258100.0,0.0,247258100.0
109,10.49.253.30,31902.0,0.0,31902.0
110,10.49.253.35,413065815.0,0.0,413065815.0
111,10.49.253.63,336746.0,0.0,336746.0
112,10.49.27.21,10086117.0,0.0,10086117.0
113,10.49.34.157,110094.0,0.0,110094.0
114,10.49.36.102,106829.0,0.0,106829.0
115,10.49.36.147,450720944.0,0.0,450720944.0
116,10.49.36.161,25668807.0,0.0,25668807.0
117,10.49.36.175,34618.0,0.0,34618.0
118,10.49.36.185,34327.0,0.0,34327.0
119,10.49.36.233,40534208.0,0.0,40534208.0
120,10.49.36.7,86973.0,0.0,86973.0
121,10.49.36.87,71147.0,0.0,71147.0
122,10.49.45.121,7444.0,0.0,7444.0
123,10.49.45.144,402879671.0,0.0,402879671.0
124,10.49.45.146,19623600.0,0.0,19623600.0
125,10.49.45.55,513309136.0,0.0,513309136.0
126,10.49.45.64,8718543128.0,0.0,8718543128.0
127,10.49.56.62,485.0,0.0,485.0
128,10.49.81.136,13184959651.0,0.0,13184959651.0
129,10.49.81.18,497746.0,0.0,497746.0
130,10.49.81.218,163997801.0,0.0,163997801.0
131,10.54.1.100,9725.0,0.0,9725.0
132,10.54.1.118,9162.0,0.0,9162.0
133,10.54.1.119,42736.0,0.0,42736.0
134,10.54.1.126,9130.0,0.0,9130.0
135,10.54.1.137,39395.0,0.0,39395.0
136,10.54.1.145,2947.0,0.0,2947.0
137,10.54.1.159,9167.0,0.0,9167.0
138,10.54.1.164,15986.0,0.0,15986.0
139,10.54.1.179,16895.0,0.0,16895.0
140,10.54.1.186,5073.0,0.0,5073.0
141,10.54.1.199,6750.0,0.0,6750.0
142,10.54.1.211,1277659.0,0.0,1277659.0
143,10.54.1.223,13706.0,0.0,13706.0
144,10.54.1.231,2417.0,0.0,2417.0
145,10.54.1.236,25419.0,0.0,25419.0
146,10.54.1.239,9199.0,0.0,9199.0
147,10.54.1.49,38654.0,0.0,38654.0
148,10.54.1.5,12067.0,0.0,12067.0
149,10.54.1.58,13095.0,0.0,13095.0
150,10.54.1.81,7812.0,0.0,7812.0
151,10.54.1.90,94335.0,0.0,94335.0
152,10.54.103.116,23926.0,0.0,23926.0
153,10.54.103.17,10453.0,0.0,10453.0
154,10.54.103.67,10490.0,0.0,10490.0
155,10.54.11.145,11489.0,0.0,11489.0
156,10.54.11.188,2926.0,0.0,2926.0
157,10.54.11.203,6743.0,0.0,6743.0
158,10.54.110.105,12530.0,0.0,12530.0
159,10.54.110.144,2910.0,0.0,2910.0
160,10.54.110.229,8458.0,0.0,8458.0
161,10.54.110.26,4370.0,0.0,4370.0
162,10.54.110.96,4965.0,0.0,4965.0
163,10.54.112.152,27892.0,0.0,27892.0
164,10.54.112.88,13943.0,0.0,13943.0
165,10.54.113.137,25332.0,0.0,25332.0
166,10.54.113.176,2058.0,0.0,2058.0
167,10.54.113.190,755641.0,0.0,755641.0
168,10.54.113.197,367073.0,0.0,367073.0
169,10.54.113.229,32466.0,0.0,32466.0
170,10.54.113.231,25975.0,0.0,25975.0
171,10.54.113.250,48173.0,0.0,48173.0
172,10.54.113.65,16847.0,0.0,16847.0
173,10.54.113.87,15585.0,0.0,15585.0
174,10.54.113.99,4370.0,0.0,4370.0
175,10.54.115.119,21629.0,0.0,21629.0
176,10.54.115.12,6620.0,0.0,6620.0
177,10.54.115.123,10490.0,0.0,10490.0
178,10.54.115.14,50024.0,0.0,50024.0
179,10.54.115.163,66805.0,0.0,66805.0
180,10.54.115.172,10490.0,0.0,10490.0
181,10.54.115.200,26034.0,0.0,26034.0
182,10.54.115.204,27337.0,0.0,27337.0
183,10.54.115.211,2185.0,0.0,2185.0
184,10.54.115.215,28043.0,0.0,28043.0
185,10.54.115.220,17603.0,0.0,17603.0
186,10.54.115.236,18700.0,0.0,18700.0
187,10.54.115.241,15948.0,0.0,15948.0
188,10.54.115.250,2834344.0,0.0,2834344.0
189,10.54.115.30,27351.0,0.0,27351.0
190,10.54.115.45,28647.0,0.0,28647.0
191,10.54.115.52,13355.0,0.0,13355.0
192,10.54.115.75,2185.0,0.0,2185.0
193,10.54.115.82,26493.0,0.0,26493.0
194,10.54.118.95,1707.0,0.0,1707.0
195,10.54.12.101,4965.0,0.0,4965.0
196,10.54.12.114,3539.0,0.0,3539.0
197,10.54.12.197,3635.0,0.0,3635.0
198,10.54.12.210,24673.0,0.0,24673.0
200,10.54.12.228,17689.0,0.0,17689.0
201,10.54.12.237,8405.0,0.0,8405.0
202,10.54.12.244,8442.0,0.0,8442.0
203,10.54.12.41,8442.0,0.0,8442.0
204,10.54.12.57,13706.0,0.0,13706.0
205,10.54.12.91,25289.0,0.0,25289.0
206,10.54.12.94,4965.0,0.0,4965.0
207,10.54.125.166,403.0,0.0,403.0
208,10.54.125.240,471922.0,0.0,471922.0
209,10.54.126.100,642.0,0.0,642.0
210,10.54.126.157,1070.0,0.0,1070.0
211,10.54.126.18,7514.0,0.0,7514.0
212,10.54.126.188,558.0,0.0,558.0
213,10.54.126.196,856.0,0.0,856.0
214,10.54.126.208,95412.0,0.0,95412.0
215,10.54.126.213,67241.0,0.0,67241.0
216,10.54.126.230,3638.0,0.0,3638.0
217,10.54.126.244,7305.0,0.0,7305.0
218,10.54.126.249,7461.0,0.0,7461.0
219,10.54.126.26,7071.0,0.0,7071.0
220,10.54.126.3,13429.0,0.0,13429.0
221,10.54.126.33,1230.0,0.0,1230.0
222,10.54.126.38,1926.0,0.0,1926.0
223,10.54.127.1,4972.0,0.0,4972.0
224,10.54.130.20,6620.0,0.0,6620.0
225,10.54.139.101,637046.0,0.0,637046.0
226,10.54.139.126,29186.0,0.0,29186.0
227,10.54.139.148,6750.0,0.0,6750.0
228,10.54.139.191,16550.0,0.0,16550.0
229,10.54.139.197,8200.0,0.0,8200.0
230,10.54.139.206,12157.0,0.0,12157.0
231,10.54.139.211,3635.0,0.0,3635.0
232,10.54.139.250,29650.0,0.0,29650.0
233,10.54.139.26,17583.0,0.0,17583.0
234,10.54.139.39,20971.0,0.0,20971.0
235,10.54.139.40,16238.0,0.0,16238.0
236,10.54.139.56,8036.0,0.0,8036.0
237,10.54.140.0,3310.0,0.0,3310.0
238,10.54.141.10,8405.0,0.0,8405.0
239,10.54.141.11,21204.0,0.0,21204.0
240,10.54.141.110,15458.0,0.0,15458.0
241,10.54.141.12,3310.0,0.0,3310.0
242,10.54.141.152,9988.0,0.0,9988.0
243,10.54.141.157,9000.0,0.0,9000.0
244,10.54.141.170,24825.0,0.0,24825.0
245,10.54.141.174,7512.0,0.0,7512.0
246,10.54.141.18,6592.0,0.0,6592.0
247,10.54.141.183,2947.0,0.0,2947.0
248,10.54.141.189,42147.0,0.0,42147.0
249,10.54.141.193,6766.0,0.0,6766.0
250,10.54.141.216,3672.0,0.0,3672.0
251,10.54.141.238,15963.0,0.0,15963.0
252,10.54.141.244,21586.0,0.0,21586.0
253,10.54.141.246,4088.0,0.0,4088.0
254,10.54.141.26,8405.0,0.0,8405.0
255,10.54.141.38,6977.0,0.0,6977.0
256,10.54.141.48,6796.0,0.0,6796.0
257,10.54.141.58,4370.0,0.0,4370.0
258,10.54.141.74,40168.0,0.0,40168.0
259,10.54.141.79,2910.0,0.0,2910.0
260,10.54.141.96,539686.0,0.0,539686.0
261,10.54.143.250,6620.0,0.0,6620.0
262,10.54.143.84,15934.0,0.0,15934.0
263,10.54.146.115,65393.0,0.0,65393.0
264,10.54.146.192,10380.0,0.0,10380.0
265,10.54.146.210,99353.0,0.0,99353.0
266,10.54.146.231,3539.0,0.0,3539.0
267,10.54.146.247,8405.0,0.0,8405.0
268,10.54.146.252,8154.0,0.0,8154.0
269,10.54.146.32,9844.0,0.0,9844.0
270,10.54.146.47,2947.0,0.0,2947.0
271,10.54.146.91,3635.0,0.0,3635.0
272,10.54.147.0,10326.0,0.0,10326.0
273,10.54.147.1,8965.0,0.0,8965.0
274,10.54.148.102,4984.0,0.0,4984.0
275,10.54.148.123,9865.0,0.0,9865.0
276,10.54.148.129,7257.0,0.0,7257.0
277,10.54.148.146,2354.0,0.0,2354.0
278,10.54.148.16,399.0,0.0,399.0
279,10.54.148.176,2448.0,0.0,2448.0
280,10.54.148.177,1284.0,0.0,1284.0
281,10.54.148.186,794.0,0.0,794.0
282,10.54.148.215,14124.0,0.0,14124.0
283,10.54.148.217,23514.0,0.0,23514.0
284,10.54.148.219,5691.0,0.0,5691.0
285,10.54.148.230,642.0,0.0,642.0
286,10.54.148.27,2354.0,0.0,2354.0
287,10.54.148.5,642.0,0.0,642.0
288,10.54.148.52,49976.0,0.0,49976.0
289,10.54.148.53,1284.0,0.0,1284.0
291,10.54.148.56,5992.0,0.0,5992.0
292,10.54.148.80,8642.0,0.0,8642.0
293,10.54.148.91,6682.0,0.0,6682.0
294,10.54.148.96,6016.0,0.0,6016.0
295,10.54.149.134,660273.0,0.0,660273.0
296,10.54.149.200,18963.0,0.0,18963.0
297,10.54.149.49,1645.0,0.0,1645.0
298,10.54.16.105,15947.0,0.0,15947.0
299,10.54.16.110,12675.0,0.0,12675.0
300,10.54.16.120,34102.0,0.0,34102.0
301,10.54.16.13,16588.0,0.0,16588.0
302,10.54.16.138,25901.0,0.0,25901.0
303,10.54.16.140,4072.0,0.0,4072.0
304,10.54.16.144,1655.0,0.0,1655.0
305,10.54.16.148,14392.0,0.0,14392.0
306,10.54.16.153,8741.0,0.0,8741.0
307,10.54.16.156,9482.0,0.0,9482.0
308,10.54.16.163,6257.0,0.0,6257.0
309,10.54.16.166,2380.0,0.0,2380.0
310,10.54.16.168,21676.0,0.0,21676.0
311,10.54.16.174,17603.0,0.0,17603.0
312,10.54.16.178,37659.0,0.0,37659.0
313,10.54.16.18,10098.0,0.0,10098.0
314,10.54.16.203,18436.0,0.0,18436.0
315,10.54.16.210,6766.0,0.0,6766.0
316,10.54.16.225,39775.0,0.0,39775.0
317,10.54.16.228,12556.0,0.0,12556.0
318,10.54.16.233,56082.0,0.0,56082.0
319,10.54.16.241,12275.0,0.0,12275.0
320,10.54.16.248,2910.0,0.0,2910.0
321,10.54.16.86,15948.0,0.0,15948.0
322,10.54.16.98,6025.0,0.0,6025.0
323,10.54.160.108,15934.0,0.0,15934.0
324,10.54.160.116,5665.0,0.0,5665.0
325,10.54.160.120,6620.0,0.0,6620.0
326,10.54.160.123,7680.0,0.0,7680.0
327,10.54.160.126,1421428.0,0.0,1421428.0
328,10.54.160.155,320907.0,0.0,320907.0
329,10.54.160.171,12638.0,0.0,12638.0
330,10.54.160.207,26120.0,0.0,26120.0
331,10.54.160.21,4370.0,0.0,4370.0
332,10.54.160.221,12675.0,0.0,12675.0
333,10.54.160.236,6759.0,0.0,6759.0
334,10.54.160.27,2185.0,0.0,2185.0
335,10.54.160.36,15948.0,0.0,15948.0
336,10.54.160.59,9871.0,0.0,9871.0
337,10.54.160.63,4714.0,0.0,4714.0
338,10.54.160.7,1096790.0,0.0,1096790.0
339,10.54.160.95,4088.0,0.0,4088.0
340,10.54.167.127,156975.0,0.0,156975.0
341,10.54.167.142,642.0,0.0,642.0
342,10.54.167.171,6761.0,0.0,6761.0
344,10.54.167.174,1734.0,0.0,1734.0
345,10.54.167.223,6639.0,0.0,6639.0
346,10.54.167.30,26836.0,0.0,26836.0
347,10.54.167.7,856.0,0.0,856.0
348,10.54.167.78,1284.0,0.0,1284.0
349,10.54.167.91,14269.0,0.0,14269.0
350,10.54.167.98,12840.0,0.0,12840.0
351,10.54.17.3,8421.0,0.0,8421.0
352,10.54.170.141,86115126.0,0.0,86115126.0
353,10.54.170.191,16475.0,0.0,16475.0
354,10.54.170.202,2185.0,0.0,2185.0
355,10.54.170.228,2910.0,0.0,2910.0
356,10.54.170.84,428938.0,0.0,428938.0
357,10.54.170.92,4558.0,0.0,4558.0
358,10.54.171.128,507.0,0.0,507.0
359,10.54.171.130,451.0,0.0,451.0
360,10.54.171.137,485.0,0.0,485.0
362,10.54.171.183,3271.0,0.0,3271.0
363,10.54.171.208,822.0,0.0,822.0
364,10.54.171.249,642.0,0.0,642.0
365,10.54.171.46,506.0,0.0,506.0
366,10.54.171.88,788.0,0.0,788.0
367,10.54.174.102,14294.0,0.0,14294.0
368,10.54.174.137,7184.0,0.0,7184.0
369,10.54.174.160,18589.0,0.0,18589.0
370,10.54.174.184,2947.0,0.0,2947.0
371,10.54.174.191,37319.0,0.0,37319.0
372,10.54.174.192,6406.0,0.0,6406.0
373,10.54.174.194,14873.0,0.0,14873.0
374,10.54.174.217,5111.0,0.0,5111.0
375,10.54.174.229,563351.0,0.0,563351.0
376,10.54.174.248,855989.0,0.0,855989.0
377,10.54.174.255,1655.0,0.0,1655.0
378,10.54.174.43,9130.0,0.0,9130.0
379,10.54.174.67,8300.0,0.0,8300.0
380,10.54.174.79,2947.0,0.0,2947.0
381,10.54.174.89,4370.0,0.0,4370.0
382,10.54.174.99,2947.0,0.0,2947.0
383,10.54.175.14,642.0,0.0,642.0
384,10.54.175.143,6850.0,0.0,6850.0
385,10.54.175.156,148.0,0.0,148.0
386,10.54.175.186,459.0,0.0,459.0
387,10.54.175.189,1800.0,0.0,1800.0
388,10.54.175.193,11857.0,0.0,11857.0
389,10.54.175.206,1235.0,0.0,1235.0
390,10.54.175.235,417.0,0.0,417.0
391,10.54.175.31,14552.0,0.0,14552.0
392,10.54.175.43,8906.0,0.0,8906.0
393,10.54.175.63,428.0,0.0,428.0
394,10.54.175.95,17946.0,0.0,17946.0
395,10.54.175.99,6000.0,0.0,6000.0
396,10.54.176.108,14949.0,0.0,14949.0
397,10.54.176.115,4887.0,0.0,4887.0
398,10.54.176.133,3667.0,0.0,3667.0
399,10.54.176.146,9679.0,0.0,9679.0
400,10.54.176.157,2910.0,0.0,2910.0
401,10.54.176.16,10854.0,0.0,10854.0
402,10.54.176.199,2910.0,0.0,2910.0
403,10.54.176.201,30391.0,0.0,30391.0
404,10.54.176.224,2947.0,0.0,2947.0
405,10.54.176.246,8437.0,0.0,8437.0
406,10.54.176.67,2947.0,0.0,2947.0
407,10.54.176.69,2958.0,0.0,2958.0
408,10.54.176.81,6620.0,0.0,6620.0
409,10.54.176.93,2947.0,0.0,2947.0
410,10.54.176.99,13407.0,0.0,13407.0
411,10.54.179.11,2947.0,0.0,2947.0
412,10.54.179.220,2947.0,0.0,2947.0
413,10.54.179.235,4360.0,0.0,4360.0
414,10.54.179.37,8442.0,0.0,8442.0
415,10.54.179.47,2947.0,0.0,2947.0
416,10.54.180.114,4119.0,0.0,4119.0
417,10.54.180.128,6526.0,0.0,6526.0
418,10.54.180.172,3638.0,0.0,3638.0
420,10.54.180.179,419.0,0.0,419.0
421,10.54.180.181,428.0,0.0,428.0
422,10.54.180.188,3611.0,0.0,3611.0
423,10.54.180.189,214.0,0.0,214.0
424,10.54.180.193,5146.0,0.0,5146.0
425,10.54.180.198,1070.0,0.0,1070.0
426,10.54.180.204,485.0,0.0,485.0
427,10.54.180.220,214.0,0.0,214.0
428,10.54.180.233,7695.0,0.0,7695.0
429,10.54.180.241,4132.0,0.0,4132.0
430,10.54.180.41,64580.0,0.0,64580.0
431,10.54.180.56,20574.0,0.0,20574.0
432,10.54.180.83,82963.0,0.0,82963.0
433,10.54.180.85,843.0,0.0,843.0
434,10.54.181.102,214.0,0.0,214.0
435,10.54.181.118,7774.0,0.0,7774.0
436,10.54.181.134,740.0,0.0,740.0
437,10.54.181.136,4494.0,0.0,4494.0
438,10.54.181.141,43648.0,0.0,43648.0
439,10.54.181.145,34277.0,0.0,34277.0
440,10.54.181.187,6206.0,0.0,6206.0
441,10.54.181.188,423.0,0.0,423.0
442,10.54.181.19,485.0,0.0,485.0
443,10.54.181.196,148.0,0.0,148.0
444,10.54.181.199,4281.0,0.0,4281.0
445,10.54.181.202,1071501.0,0.0,1071501.0
446,10.54.181.207,2025213.0,0.0,2025213.0
447,10.54.181.217,3804.0,0.0,3804.0
448,10.54.181.219,285965.0,0.0,285965.0
449,10.54.181.221,56879.0,0.0,56879.0
450,10.54.181.229,214.0,0.0,214.0
451,10.54.181.230,214.0,0.0,214.0
452,10.54.181.241,399.0,0.0,399.0
453,10.54.181.242,9948.0,0.0,9948.0
454,10.54.181.5,1046468.0,0.0,1046468.0
455,10.54.181.67,42019.0,0.0,42019.0
456,10.54.181.7,367.0,0.0,367.0
457,10.54.181.72,3027.0,0.0,3027.0
458,10.54.181.99,428.0,0.0,428.0
459,10.54.185.127,22932.0,0.0,22932.0
460,10.54.185.131,15204.0,0.0,15204.0
461,10.54.185.174,4370.0,0.0,4370.0
462,10.54.185.58,25267.0,0.0,25267.0
463,10.54.187.133,4893.0,0.0,4893.0
464,10.54.187.202,9167.0,0.0,9167.0
465,10.54.187.213,5800.0,0.0,5800.0
466,10.54.191.131,3464.0,0.0,3464.0
467,10.54.191.196,8442.0,0.0,8442.0
468,10.54.191.39,12472.0,0.0,12472.0
469,10.54.191.56,23819.0,0.0,23819.0
470,10.54.191.77,2947.0,0.0,2947.0
471,10.54.191.93,5857.0,0.0,5857.0
472,10.54.194.101,6620.0,0.0,6620.0
473,10.54.194.110,8405.0,0.0,8405.0
474,10.54.194.129,3091.0,0.0,3091.0
475,10.54.194.137,11352.0,0.0,11352.0
476,10.54.194.160,18063.0,0.0,18063.0
477,10.54.194.187,18393.0,0.0,18393.0
478,10.54.194.219,9236.0,0.0,9236.0
479,10.54.194.248,10466.0,0.0,10466.0
480,10.54.195.243,14072.0,0.0,14072.0
481,10.54.197.101,7512.0,0.0,7512.0
482,10.54.197.104,9183.0,0.0,9183.0
483,10.54.197.129,8437.0,0.0,8437.0
484,10.54.197.160,9199.0,0.0,9199.0
485,10.54.197.229,9194.0,0.0,9194.0
486,10.54.197.246,109399609.0,0.0,109399609.0
487,10.54.197.7,8442.0,0.0,8442.0
488,10.54.2.3,16282.0,0.0,16282.0
489,10.54.20.103,946.0,0.0,946.0
490,10.54.20.126,1284.0,0.0,1284.0
491,10.54.20.127,80241.0,0.0,80241.0
492,10.54.20.194,399.0,0.0,399.0
493,10.54.20.204,1235.0,0.0,1235.0
494,10.54.20.214,5423.0,0.0,5423.0
495,10.54.20.223,1937.0,0.0,1937.0
496,10.54.20.236,2731.0,0.0,2731.0
497,10.54.20.240,5429.0,0.0,5429.0
498,10.54.20.246,123366.0,0.0,123366.0
499,10.54.20.27,5530.0,0.0,5530.0
500,10.54.20.31,5981.0,0.0,5981.0
502,10.54.20.52,2209.0,0.0,2209.0
503,10.54.20.92,1498.0,0.0,1498.0
504,10.54.202.17,8442.0,0.0,8442.0
505,10.54.202.172,8421.0,0.0,8421.0
506,10.54.202.251,8938.0,0.0,8938.0
507,10.54.207.111,6634.0,0.0,6634.0
508,10.54.207.112,2816.0,0.0,2816.0
509,10.54.207.12,4124.0,0.0,4124.0
510,10.54.207.120,1010.0,0.0,1010.0
511,10.54.207.121,2331.0,0.0,2331.0
512,10.54.207.129,3860.0,0.0,3860.0
514,10.54.207.140,399.0,0.0,399.0
515,10.54.207.141,1154.0,0.0,1154.0
516,10.54.207.150,37941.0,0.0,37941.0
517,10.54.207.159,438.0,0.0,438.0
518,10.54.207.191,214.0,0.0,214.0
519,10.54.207.200,12233.0,0.0,12233.0
520,10.54.207.215,1265.0,0.0,1265.0
521,10.54.207.228,419.0,0.0,419.0
522,10.54.207.252,11445.0,0.0,11445.0
523,10.54.207.26,1070.0,0.0,1070.0
524,10.54.207.27,1070.0,0.0,1070.0
525,10.54.207.68,1671.0,0.0,1671.0
526,10.54.207.71,21773.0,0.0,21773.0
527,10.54.207.94,1498.0,0.0,1498.0
528,10.54.208.118,1498.0,0.0,1498.0
529,10.54.208.123,2996.0,0.0,2996.0
530,10.54.208.135,1291.0,0.0,1291.0
531,10.54.208.165,38561.0,0.0,38561.0
532,10.54.208.181,428.0,0.0,428.0
533,10.54.208.183,48720.0,0.0,48720.0
534,10.54.208.193,2996.0,0.0,2996.0
535,10.54.208.208,214.0,0.0,214.0
536,10.54.208.22,26193.0,0.0,26193.0
539,10.54.208.49,2140.0,0.0,2140.0
540,10.54.208.69,2996.0,0.0,2996.0
541,10.54.208.81,6946.0,0.0,6946.0
542,10.54.208.94,116.0,0.0,116.0
543,10.54.208.95,167.0,0.0,167.0
544,10.54.21.1,485.0,0.0,485.0
545,10.54.21.102,214.0,0.0,214.0
546,10.54.21.127,443.0,0.0,443.0
547,10.54.21.129,8562.0,0.0,8562.0
548,10.54.21.135,499.0,0.0,499.0
549,10.54.21.140,214.0,0.0,214.0
550,10.54.21.143,1645.0,0.0,1645.0
551,10.54.21.166,14423.0,0.0,14423.0
552,10.54.21.186,428.0,0.0,428.0
553,10.54.21.190,530.0,0.0,530.0
554,10.54.21.193,477.0,0.0,477.0
555,10.54.21.196,428.0,0.0,428.0
556,10.54.21.215,404.0,0.0,404.0
557,10.54.21.233,428.0,0.0,428.0
558,10.54.21.245,25274.0,0.0,25274.0
559,10.54.21.25,8513.0,0.0,8513.0
560,10.54.21.27,232.0,0.0,232.0
561,10.54.21.43,8986.0,0.0,8986.0
562,10.54.21.73,4978.0,0.0,4978.0
563,10.54.21.80,51429.0,0.0,51429.0
564,10.54.21.84,419.0,0.0,419.0
565,10.54.21.85,399.0,0.0,399.0
566,10.54.21.95,1498.0,0.0,1498.0
567,10.54.213.158,508.0,0.0,508.0
568,10.54.213.189,12390.0,0.0,12390.0
569,10.54.213.21,499.0,0.0,499.0
570,10.54.213.250,77133.0,0.0,77133.0
571,10.54.213.52,334.0,0.0,334.0
572,10.54.213.55,497.0,0.0,497.0
573,10.54.213.63,485.0,0.0,485.0
574,10.54.213.66,1693.0,0.0,1693.0
575,10.54.213.69,459.0,0.0,459.0
576,10.54.213.71,27698.0,0.0,27698.0
577,10.54.214.1,5135.0,0.0,5135.0
578,10.54.216.108,3075.0,0.0,3075.0
579,10.54.216.124,77340243.0,0.0,77340243.0
580,10.54.216.161,2338.0,0.0,2338.0
581,10.54.216.17,25308.0,0.0,25308.0
582,10.54.216.198,1926.0,0.0,1926.0
583,10.54.216.206,36329.0,0.0,36329.0
584,10.54.216.217,485.0,0.0,485.0
585,10.54.216.222,4974.0,0.0,4974.0
586,10.54.216.227,4280.0,0.0,4280.0
587,10.54.216.252,4475.0,0.0,4475.0
588,10.54.216.42,503842.0,0.0,503842.0
589,10.54.216.83,2354.0,0.0,2354.0
591,10.54.216.95,16417.0,0.0,16417.0
