,ip,s_up_length,f_up_length,up_increment
231,10.54.139.211,1446.0,0.0,1446.0
232,10.54.139.250,8594.0,0.0,8594.0
233,10.54.139.26,5882.0,0.0,5882.0
234,10.54.139.39,7543.0,0.0,7543.0
235,10.54.139.40,7900.0,0.0,7900.0
236,10.54.139.56,2794.0,0.0,2794.0
237,10.54.140.0,934.0,0.0,934.0
238,10.54.141.10,2390.0,0.0,2390.0
239,10.54.141.11,5888.0,0.0,5888.0
240,10.54.141.110,4311.0,0.0,4311.0
241,10.54.141.12,1022.0,0.0,1022.0
242,10.54.141.152,3058.0,0.0,3058.0
243,10.54.141.157,3029.0,0.0,3029.0
244,10.54.141.170,7117.0,0.0,7117.0
245,10.54.141.174,2923.0,0.0,2923.0
246,10.54.141.18,1904.0,0.0,1904.0
247,10.54.141.183,1242.0,0.0,1242.0
248,10.54.141.189,13911.0,0.0,13911.0
249,10.54.141.193,1719.0,0.0,1719.0
250,10.54.141.216,1750.0,0.0,1750.0
251,10.54.141.238,5804.0,0.0,5804.0
252,10.54.141.244,6548.0,0.0,6548.0
253,10.54.141.246,2056.0,0.0,2056.0
254,10.54.141.26,2822.0,0.0,2822.0
255,10.54.141.38,4296.0,0.0,4296.0
256,10.54.141.48,1703.0,0.0,1703.0
257,10.54.141.58,632.0,0.0,632.0
258,10.54.141.74,8476.0,0.0,8476.0
259,10.54.141.79,1466.0,0.0,1466.0
260,10.54.141.96,302021.0,0.0,302021.0
261,10.54.143.250,1900.0,0.0,1900.0
262,10.54.143.84,4484.0,0.0,4484.0
263,10.54.146.115,15880.0,0.0,15880.0
264,10.54.146.192,4891.0,0.0,4891.0
265,10.54.146.210,30083.0,0.0,30083.0
266,10.54.146.231,1443.0,0.0,1443.0
267,10.54.146.247,2272.0,0.0,2272.0
268,10.54.146.252,2522.0,0.0,2522.0
269,10.54.146.32,3906.0,0.0,3906.0
270,10.54.146.47,1198.0,0.0,1198.0
271,10.54.146.91,1492.0,0.0,1492.0
272,10.54.147.0,2999.0,0.0,2999.0
273,10.54.147.1,2873.0,0.0,2873.0
274,10.54.148.102,756.0,0.0,756.0
275,10.54.148.123,12603.0,0.0,12603.0
276,10.54.148.129,919.0,0.0,919.0
277,10.54.148.146,4136.0,0.0,4136.0
278,10.54.148.16,546.0,0.0,546.0
279,10.54.148.176,616.0,0.0,616.0
280,10.54.148.177,2256.0,0.0,2256.0
281,10.54.148.186,1071.0,0.0,1071.0
282,10.54.148.215,35344.0,0.0,35344.0
283,10.54.148.217,15081.0,0.0,15081.0
284,10.54.148.219,5413.0,0.0,5413.0
285,10.54.148.230,1128.0,0.0,1128.0
286,10.54.148.27,4136.0,0.0,4136.0
287,10.54.148.5,1164.0,0.0,1164.0
288,10.54.148.52,1419.0,0.0,1419.0
289,10.54.148.53,2256.0,0.0,2256.0
291,10.54.148.56,10528.0,0.0,10528.0
292,10.54.148.80,6780.0,0.0,6780.0
293,10.54.148.91,1525.0,0.0,1525.0
294,10.54.148.96,1436.0,0.0,1436.0
295,10.54.149.134,200305.0,0.0,200305.0
296,10.54.149.200,6101.0,0.0,6101.0
297,10.54.149.49,1009.0,0.0,1009.0
298,10.54.16.105,5463.0,0.0,5463.0
299,10.54.16.110,6723.0,0.0,6723.0
300,10.54.16.120,9378.0,0.0,9378.0
301,10.54.16.13,6356.0,0.0,6356.0
302,10.54.16.138,6343.0,0.0,6343.0
303,10.54.16.140,1512.0,0.0,1512.0
304,10.54.16.144,449.0,0.0,449.0
305,10.54.16.148,4851.0,0.0,4851.0
306,10.54.16.153,2682.0,0.0,2682.0
307,10.54.16.156,3450.0,0.0,3450.0
308,10.54.16.163,1819.0,0.0,1819.0
309,10.54.16.166,1225.0,0.0,1225.0
310,10.54.16.168,7690.0,0.0,7690.0
311,10.54.16.174,5324.0,0.0,5324.0
312,10.54.16.178,11113.0,0.0,11113.0
313,10.54.16.18,3594.0,0.0,3594.0
314,10.54.16.203,6079.0,0.0,6079.0
315,10.54.16.210,2023.0,0.0,2023.0
316,10.54.16.225,14959.0,0.0,14959.0
317,10.54.16.228,2979.0,0.0,2979.0
318,10.54.16.233,27387.0,0.0,27387.0
319,10.54.16.241,5808.0,0.0,5808.0
320,10.54.16.248,924.0,0.0,924.0
321,10.54.16.86,4782.0,0.0,4782.0
322,10.54.16.98,1343.0,0.0,1343.0
323,10.54.160.108,3785.0,0.0,3785.0
324,10.54.160.116,1928.0,0.0,1928.0
325,10.54.160.120,1900.0,0.0,1900.0
326,10.54.160.123,1852.0,0.0,1852.0
327,10.54.160.126,619903.0,0.0,619903.0
328,10.54.160.155,173022.0,0.0,173022.0
329,10.54.160.171,3743.0,0.0,3743.0
330,10.54.160.207,8424.0,0.0,8424.0
331,10.54.160.21,836.0,0.0,836.0
332,10.54.160.221,3821.0,0.0,3821.0
333,10.54.160.236,2427.0,0.0,2427.0
334,10.54.160.27,420.0,0.0,420.0
335,10.54.160.36,5066.0,0.0,5066.0
336,10.54.160.59,2544.0,0.0,2544.0
337,10.54.160.63,1094.0,0.0,1094.0
338,10.54.160.7,375527.0,0.0,375527.0
339,10.54.160.95,1944.0,0.0,1944.0
340,10.54.167.127,183007.0,0.0,183007.0
341,10.54.167.142,1200.0,0.0,1200.0
342,10.54.167.171,884.0,0.0,884.0
344,10.54.167.174,1015.0,0.0,1015.0
345,10.54.167.223,92722.0,0.0,92722.0
346,10.54.167.30,3057.0,0.0,3057.0
347,10.54.167.7,1504.0,0.0,1504.0
348,10.54.167.78,2256.0,0.0,2256.0
349,10.54.167.91,1113.0,0.0,1113.0
350,10.54.167.98,22560.0,0.0,22560.0
351,10.54.17.3,2926.0,0.0,2926.0
352,10.54.170.141,1802239.0,0.0,1802239.0
353,10.54.170.191,6326.0,0.0,6326.0
354,10.54.170.202,415.0,0.0,415.0
355,10.54.170.228,922.0,0.0,922.0
356,10.54.170.84,128077.0,0.0,128077.0
357,10.54.170.92,1449.0,0.0,1449.0
358,10.54.171.128,619.0,0.0,619.0
359,10.54.171.130,353.0,0.0,353.0
360,10.54.171.137,432.0,0.0,432.0
362,10.54.171.183,560.0,0.0,560.0
363,10.54.171.208,513.0,0.0,513.0
364,10.54.171.249,1128.0,0.0,1128.0
365,10.54.171.46,1179.0,0.0,1179.0
366,10.54.171.88,529.0,0.0,529.0
367,10.54.174.102,4372.0,0.0,4372.0
368,10.54.174.137,2876.0,0.0,2876.0
369,10.54.174.160,6213.0,0.0,6213.0
370,10.54.174.184,1097.0,0.0,1097.0
371,10.54.174.191,15099.0,0.0,15099.0
372,10.54.174.192,2446.0,0.0,2446.0
373,10.54.174.194,6647.0,0.0,6647.0
374,10.54.174.217,1746.0,0.0,1746.0
375,10.54.174.229,193862.0,0.0,193862.0
376,10.54.174.248,183551.0,0.0,183551.0
377,10.54.174.255,934.0,0.0,934.0
378,10.54.174.43,2984.0,0.0,2984.0
379,10.54.174.67,2148.0,0.0,2148.0
380,10.54.174.79,1181.0,0.0,1181.0
381,10.54.174.89,886.0,0.0,886.0
382,10.54.174.99,1034.0,0.0,1034.0
383,10.54.175.14,1278.0,0.0,1278.0
384,10.54.175.143,164065.0,0.0,164065.0
385,10.54.175.156,547.0,0.0,547.0
386,10.54.175.186,567.0,0.0,567.0
387,10.54.175.189,5813.0,0.0,5813.0
388,10.54.175.193,9294.0,0.0,9294.0
389,10.54.175.206,561.0,0.0,561.0
390,10.54.175.235,566.0,0.0,566.0
391,10.54.175.31,27648.0,0.0,27648.0
392,10.54.175.43,6556.0,0.0,6556.0
393,10.54.175.63,1128.0,0.0,1128.0
394,10.54.175.95,1446.0,0.0,1446.0
395,10.54.175.99,3014.0,0.0,3014.0
396,10.54.176.108,5304.0,0.0,5304.0
397,10.54.176.115,1344.0,0.0,1344.0
398,10.54.176.133,1555.0,0.0,1555.0
399,10.54.176.146,3490.0,0.0,3490.0
400,10.54.176.157,1097.0,0.0,1097.0
401,10.54.176.16,3885.0,0.0,3885.0
402,10.54.176.199,878.0,0.0,878.0
403,10.54.176.201,9218.0,0.0,9218.0
404,10.54.176.224,1500.0,0.0,1500.0
405,10.54.176.246,2582.0,0.0,2582.0
406,10.54.176.67,1031.0,0.0,1031.0
407,10.54.176.69,922.0,0.0,922.0
408,10.54.176.81,1900.0,0.0,1900.0
409,10.54.176.93,1095.0,0.0,1095.0
410,10.54.176.99,3749.0,0.0,3749.0
411,10.54.179.11,1181.0,0.0,1181.0
412,10.54.179.220,938.0,0.0,938.0
413,10.54.179.235,2846.0,0.0,2846.0
414,10.54.179.37,2424.0,0.0,2424.0
415,10.54.179.47,1082.0,0.0,1082.0
416,10.54.180.114,1721.0,0.0,1721.0
417,10.54.180.128,3123.0,0.0,3123.0
418,10.54.180.172,6392.0,0.0,6392.0
420,10.54.180.179,569.0,0.0,569.0
421,10.54.180.181,852.0,0.0,852.0
422,10.54.180.188,5495.0,0.0,5495.0
423,10.54.180.189,385.0,0.0,385.0
424,10.54.180.193,1927.0,0.0,1927.0
425,10.54.180.198,1880.0,0.0,1880.0
426,10.54.180.204,432.0,0.0,432.0
427,10.54.180.220,382.0,0.0,382.0
428,10.54.180.233,441.0,0.0,441.0
429,10.54.180.241,6032.0,0.0,6032.0
430,10.54.180.41,10177.0,0.0,10177.0
431,10.54.180.56,13952.0,0.0,13952.0
432,10.54.180.83,12915.0,0.0,12915.0
433,10.54.180.85,597.0,0.0,597.0
434,10.54.181.102,397.0,0.0,397.0
435,10.54.181.118,1012.0,0.0,1012.0
436,10.54.181.134,2872.0,0.0,2872.0
437,10.54.181.136,7896.0,0.0,7896.0
438,10.54.181.141,2182.0,0.0,2182.0
439,10.54.181.145,3684.0,0.0,3684.0
440,10.54.181.187,10904.0,0.0,10904.0
441,10.54.181.188,530.0,0.0,530.0
442,10.54.181.19,427.0,0.0,427.0
443,10.54.181.196,666.0,0.0,666.0
444,10.54.181.199,3324.0,0.0,3324.0
445,10.54.181.202,3818181.0,0.0,3818181.0
446,10.54.181.207,238332.0,0.0,238332.0
447,10.54.181.217,1383.0,0.0,1383.0
448,10.54.181.219,324488.0,0.0,324488.0
449,10.54.181.221,1828.0,0.0,1828.0
450,10.54.181.229,376.0,0.0,376.0
451,10.54.181.230,752.0,0.0,752.0
452,10.54.181.241,686.0,0.0,686.0
453,10.54.181.242,1556.0,0.0,1556.0
454,10.54.181.5,29898.0,0.0,29898.0
455,10.54.181.67,5350.0,0.0,5350.0
456,10.54.181.7,287.0,0.0,287.0
457,10.54.181.72,496.0,0.0,496.0
458,10.54.181.99,768.0,0.0,768.0
459,10.54.185.127,9430.0,0.0,9430.0
460,10.54.185.131,5207.0,0.0,5207.0
461,10.54.185.174,836.0,0.0,836.0
462,10.54.185.58,7232.0,0.0,7232.0
463,10.54.187.133,2626.0,0.0,2626.0
464,10.54.187.202,3168.0,0.0,3168.0
465,10.54.187.213,4670.0,0.0,4670.0
466,10.54.191.131,2756.0,0.0,2756.0
467,10.54.191.196,2424.0,0.0,2424.0
468,10.54.191.39,3692.0,0.0,3692.0
469,10.54.191.56,7336.0,0.0,7336.0
470,10.54.191.77,874.0,0.0,874.0
471,10.54.191.93,1896.0,0.0,1896.0
472,10.54.194.101,1900.0,0.0,1900.0
473,10.54.194.110,2304.0,0.0,2304.0
474,10.54.194.129,1626.0,0.0,1626.0
475,10.54.194.137,3556.0,0.0,3556.0
476,10.54.194.160,6026.0,0.0,6026.0
477,10.54.194.187,6608.0,0.0,6608.0
478,10.54.194.219,2890.0,0.0,2890.0
479,10.54.194.248,4320.0,0.0,4320.0
480,10.54.195.243,5091.0,0.0,5091.0
481,10.54.197.101,2779.0,0.0,2779.0
482,10.54.197.104,2701.0,0.0,2701.0
483,10.54.197.129,2354.0,0.0,2354.0
484,10.54.197.160,2936.0,0.0,2936.0
485,10.54.197.229,3096.0,0.0,3096.0
486,10.54.197.246,393957.0,0.0,393957.0
487,10.54.197.7,2270.0,0.0,2270.0
488,10.54.2.3,4740.0,0.0,4740.0
489,10.54.20.103,788.0,0.0,788.0
490,10.54.20.126,2292.0,0.0,2292.0
491,10.54.20.127,1802558.0,0.0,1802558.0
492,10.54.20.194,535.0,0.0,535.0
493,10.54.20.204,586.0,0.0,586.0
494,10.54.20.214,1197.0,0.0,1197.0
495,10.54.20.223,874.0,0.0,874.0
496,10.54.20.236,1159.0,0.0,1159.0
497,10.54.20.240,127054.0,0.0,127054.0
498,10.54.20.246,16935.0,0.0,16935.0
499,10.54.20.27,1312.0,0.0,1312.0
500,10.54.20.31,98867.0,0.0,98867.0
502,10.54.20.52,1684.0,0.0,1684.0
503,10.54.20.92,2800.0,0.0,2800.0
504,10.54.202.17,2584.0,0.0,2584.0
505,10.54.202.172,2390.0,0.0,2390.0
506,10.54.202.251,2708.0,0.0,2708.0
507,10.54.207.111,11656.0,0.0,11656.0
508,10.54.207.112,23794.0,0.0,23794.0
509,10.54.207.12,1786.0,0.0,1786.0
510,10.54.207.120,1080.0,0.0,1080.0
511,10.54.207.121,4993.0,0.0,4993.0
512,10.54.207.129,1945.0,0.0,1945.0
514,10.54.207.140,511.0,0.0,511.0
515,10.54.207.141,1034.0,0.0,1034.0
516,10.54.207.150,4311.0,0.0,4311.0
517,10.54.207.159,543.0,0.0,543.0
518,10.54.207.191,376.0,0.0,376.0
519,10.54.207.200,6079.0,0.0,6079.0
520,10.54.207.215,1913.0,0.0,1913.0
521,10.54.207.228,524.0,0.0,524.0
522,10.54.207.252,1740.0,0.0,1740.0
523,10.54.207.26,1880.0,0.0,1880.0
524,10.54.207.27,2256.0,0.0,2256.0
525,10.54.207.68,2966.0,0.0,2966.0
526,10.54.207.71,16232.0,0.0,16232.0
527,10.54.207.94,2667.0,0.0,2667.0
528,10.54.208.118,2632.0,0.0,2632.0
529,10.54.208.123,5715.0,0.0,5715.0
530,10.54.208.135,682.0,0.0,682.0
531,10.54.208.165,3224.0,0.0,3224.0
532,10.54.208.181,1146.0,0.0,1146.0
533,10.54.208.183,5906.0,0.0,5906.0
534,10.54.208.193,5264.0,0.0,5264.0
535,10.54.208.208,376.0,0.0,376.0
536,10.54.208.22,9186.0,0.0,9186.0
539,10.54.208.49,3760.0,0.0,3760.0
540,10.54.208.69,4888.0,0.0,4888.0
541,10.54.208.81,686.0,0.0,686.0
542,10.54.208.94,769.0,0.0,769.0
543,10.54.208.95,661.0,0.0,661.0
544,10.54.21.1,354.0,0.0,354.0
545,10.54.21.102,376.0,0.0,376.0
546,10.54.21.127,570.0,0.0,570.0
547,10.54.21.129,6494.0,0.0,6494.0
548,10.54.21.135,365.0,0.0,365.0
549,10.54.21.140,426.0,0.0,426.0
550,10.54.21.143,7721.0,0.0,7721.0
551,10.54.21.166,1624.0,0.0,1624.0
552,10.54.21.186,752.0,0.0,752.0
553,10.54.21.190,644.0,0.0,644.0
554,10.54.21.193,589.0,0.0,589.0
555,10.54.21.196,752.0,0.0,752.0
556,10.54.21.215,584.0,0.0,584.0
557,10.54.21.233,752.0,0.0,752.0
558,10.54.21.245,10050.0,0.0,10050.0
559,10.54.21.25,4667.0,0.0,4667.0
560,10.54.21.27,1370.0,0.0,1370.0
561,10.54.21.43,6264.0,0.0,6264.0
562,10.54.21.73,1962.0,0.0,1962.0
563,10.54.21.80,4620.0,0.0,4620.0
564,10.54.21.84,546.0,0.0,546.0
565,10.54.21.85,521.0,0.0,521.0
566,10.54.21.95,3176.0,0.0,3176.0
567,10.54.213.158,633.0,0.0,633.0
568,10.54.213.189,10181.0,0.0,10181.0
569,10.54.213.21,309.0,0.0,309.0
570,10.54.213.250,17408.0,0.0,17408.0
571,10.54.213.52,457.0,0.0,457.0
572,10.54.213.55,316.0,0.0,316.0
573,10.54.213.63,432.0,0.0,432.0
574,10.54.213.66,1250.0,0.0,1250.0
575,10.54.213.69,566.0,0.0,566.0
576,10.54.213.71,20482.0,0.0,20482.0
577,10.54.214.1,18884.0,0.0,18884.0
578,10.54.216.108,2376.0,0.0,2376.0
579,10.54.216.124,36800501.0,0.0,36800501.0
580,10.54.216.161,3682.0,0.0,3682.0
581,10.54.216.17,4076.0,0.0,4076.0
582,10.54.216.198,3384.0,0.0,3384.0
583,10.54.216.206,11959.0,0.0,11959.0
584,10.54.216.217,518.0,0.0,518.0
585,10.54.216.222,708.0,0.0,708.0
586,10.54.216.227,8855.0,0.0,8855.0
587,10.54.216.252,320.0,0.0,320.0
588,10.54.216.42,17495.0,0.0,17495.0
589,10.54.216.83,4312.0,0.0,4312.0
591,10.54.216.95,2831.0,0.0,2831.0
592,10.54.22.0,1777.0,0.0,1777.0
