user,source_ip,info,record_time
xjsjteshg,10.56.144.126,"530 Sorry, no ANONYMOUS access allowed.",1
xjsjteshg,10.56.148.217,"530 Sorry, no ANONYMOUS access allowed.",15
xjsjteshg,10.56.167.49,"230 User logged in, proceed.",13
xjsjteshg,10.56.187.101,"230 Anonymous access granted, restrictions apply",1
xjsjteshg,10.56.187.101,230 Login successful.,1
xjsjteshg,10.56.34.157,530 Login or password incorrect!,4
xjsjteshg,10.56.4.86,"230 Anonymous access granted, restrictions apply",6
xjsjteshg,10.56.43.175,530 û��Ȩ��,2
yhoxferj,10.49.253.219,mysql login success,4139
yxdzh3,10.49.137.123,mysql login success,93
